Wavenumber,Fit_First,Fit_Last
37606.38,0.17977947646348966,0.18246113073268175
37525.0,0.1854057348859494,0.18682188733691243
37443.96,0.1912551809132628,0.19140725511011866
37363.28,0.19732688616078323,0.19620981871796253
37282.94,0.20362261875106133,0.201224550195513
37202.95,0.2101416425043788,0.20644473384825435
37123.3,0.21688454805266213,0.21186502443304786
37043.99,0.22385087640514487,0.21747956613694705
36965.02,0.23103987859002498,0.2232826060470896
36886.39,0.2384505108452058,0.22926849641196115
36808.09,0.24608242580669568,0.23543249729223753
36730.12,0.2539340944844568,0.2417692566383743
36652.48,0.26200371402328604,0.24827353923938084
36575.17,0.27028922824791735,0.2549402377567635
36498.18,0.278789474801144,0.2617652856739103
36421.52,0.28750092053454224,0.2687430262620305
36345.18,0.2964221113281774,0.2758697759483877
36269.16,0.30555037590668127,0.2831411693914021
36193.45,0.31488418976640326,0.2905540375154141
36118.06,0.3244195102655892,0.29810348679221665
36042.98,0.3341547120749068,0.3057868105333807
35968.22,0.34408551545065086,0.3135994661055769
35893.77,0.35421014014538504,0.32153913396803807
35819.62,0.36452675302917964,0.3296036835722303
35745.78,0.3750305167329692,0.3377888654127195
35672.24,0.3857190635403596,0.3460925780425436
35599.0,0.39658820183927845,0.35451149976371954
35526.07,0.4076316535571081,0.36304088529534356
35453.43,0.41884703602331763,0.3716791635206775
35381.09,0.4302266836672892,0.3804208276384289
35309.04,0.4417652229363653,0.3892622549791039
35237.29,0.45345324747746496,0.3981968247096186
35165.82,0.465285399252348,0.4072210793617537
35094.65,0.477248956952973,0.41632598667375037
35023.76,0.4893371842575699,0.42550710106697925
34953.16,0.5015377859050275,0.4347557557470349
34882.85,0.5138398105895454,0.44406430778316686
34812.81,0.5262357767775089,0.4534277262983105
34743.06,0.5387113198647778,0.462835771401873
34673.59,0.5512577784827926,0.4722825134624284
34604.39,0.56386718567808,0.481762550836617
34535.47,0.5765287406048398,0.4912683784596608
34466.82,0.5892361947314435,0.5007959572828253
34398.45,0.6019805134351797,0.5103392201653579
34330.34,0.6147590604921338,0.5198969664423752
34262.51,0.6275623059742631,0.5294629193643346
34194.94,0.640388505187374,0.5390367048855628
34127.64,0.6532300860713348,0.5486136669145477
34060.6,0.6660826021970176,0.5581915333603283
33993.83,0.6789365462174851,0.567764279320415
33927.31,0.6917863871186904,0.5773288194234762
