Wavenumber,Fit_1,Fit_2,Fit_3,Fit_4,Fit_5,Fit_6,Fit_7,Fit_8,Fit_9,Fit_10,Fit_11,Fit_12,Fit_13,Fit_14,Fit_15,Fit_16,Fit_17,Fit_18,Fit_19,Fit_20,Fit_21,Fit_22,Fit_23,Fit_24,Fit_25,Fit_26,Fit_27,Fit_28,Fit_29,Fit_30,Fit_31,Fit_32,Fit_33,Fit_34,Fit_35,Fit_36,Fit_37,Fit_38,Fit_39,Fit_40
46727.11,0.3798198258802622,0.3777240989050288,0.3760334830823681,0.3745748258925302,0.3732567469707453,0.3721388733548958,0.3711345965593523,0.3702238856081731,0.3694929423685194,0.36878189478599654,0.36814010742720615,0.36758463850555473,0.3670977790245283,0.3666834408300951,0.36631912295915975,0.36598657043195026,0.36567810501730547,0.36541625623978347,0.36519130924066423,0.3649909703999849,0.36480784182141973,0.36465340223782006,0.36451024763273343,0.364388265873802,0.3642849045876505,0.36417207572209304,0.36408466214442414,0.3639999030747269,0.3639473274406036,0.36387549498699845,0.36383070832699216,0.363773358473785,0.36372369614006034,0.36368926299376725,0.3636412209414833,0.3636357798428207,0.3635856045350961,0.3635619620584615,0.36355731589797646,0.3635151600550059
46601.52,0.39257275714325285,0.38996906791300634,0.38786868066697405,0.38605647418173783,0.3844189193218619,0.38303009552527,0.38178240214362036,0.3806509530934936,0.3797428438485879,0.37885945256972087,0.3780621088059871,0.3773720053401579,0.3767671408695602,0.37625237539329603,0.37579975416536393,0.3753865975644235,0.37500336630982517,0.3746780506317602,0.37439858098428,0.37414968402010435,0.3739221687409695,0.3737302960947259,0.37355244367982215,0.3734008959850272,0.37327248199276697,0.3731323056694269,0.37302370479085656,0.37291840181983765,0.372853082904751,0.37276383970272886,0.3727081976531226,0.37263694734384273,0.3725752478548368,0.3725324688033543,0.37247278231956654,0.372466022407538,0.3724036856099061,0.37237431267034027,0.372368540373586,0.3723161667983869
46476.62,0.40614932622737,0.40301503090984453,0.40048660553797105,0.39830508931280784,0.3963338169851137,0.3946619646488371,0.3931600037088053,0.3917979765441827,0.39070480362590776,0.38964138595042974,0.3886815514217552,0.38785081170196467,0.3871226818407244,0.38650301225683725,0.3859581513038325,0.38546079747808054,0.38499946748797914,0.3846078556955148,0.3842714329007696,0.38397181319950124,0.3836979325589955,0.383466958167084,0.3832528611908521,0.38307042957625703,0.38291584608373785,0.3827471032135179,0.38261637055109876,0.38248960787713915,0.3824109776138482,0.382303547530807,0.3822365661823755,0.38215079576547867,0.38207652253146956,0.38202502553282924,0.38195317553457203,0.3819450380193986,0.3818699975995753,0.381834638745733,0.3818276901120489,0.38176464332074916
46352.38,0.4203521185223756,0.4166859552556374,0.41372847381819255,0.41117676957840166,0.40887098615202194,0.4069154321911696,0.40515859900585005,0.40356544537692485,0.40228676867573365,0.4010428964735075,0.3999201847521525,0.39894847432401037,0.398096785928291,0.3973719627588662,0.3967346427207011,0.39615289143633803,0.39561327698006854,0.3951552114109671,0.3947617000257151,0.3944112369609748,0.3940908806952208,0.3938207115677463,0.3935702838351098,0.3933568948540586,0.3931760796262309,0.3929787022735401,0.3928257851945259,0.3926775117831897,0.392585538515285,0.392459878300057,0.392381530686224,0.39228120563068697,0.3921943287493978,0.3921340930709961,0.39205005063158305,0.3920405322371151,0.3919527579839557,0.39191139898042276,0.39190327121230084,0.39182952582237013
46228.8,0.4349039687139699,0.43072183021632166,0.42734811331510403,0.4244372826293401,0.421806983612875,0.4195762053008154,0.4175721156944057,0.415754741878939,0.4142961044236422,0.4128771698469197,0.4115964478577386,0.4104879790595896,0.4095164241754812,0.40868958950929457,0.40796257315104484,0.40729894628410623,0.40668338657569747,0.40616085293177423,0.405711958817195,0.40531217163686073,0.4049467284815796,0.4046385357943804,0.40435286290276645,0.40410944159070306,0.40390317845667406,0.4036780222469817,0.40350358364276145,0.4033344422552645,0.4032295246843673,0.40308617907057653,0.40299680482612243,0.4028823600383393,0.40278325611869353,0.40271454288056224,0.40261867232168824,0.40260781430990755,0.4025076867224182,0.40246050685935303,0.4024512351904475,0.4023671108861506
46105.88,0.449537098462857,0.4448635822036115,0.44109347253345144,0.4378406356067264,0.43490129124330096,0.43240840902095334,0.4301688501527313,0.42813794513117676,0.4265079259753052,0.424922274563032,0.4234910749403086,0.4222523672901605,0.4211666601692262,0.4202426770782063,0.41943024038512966,0.41868864109221904,0.4180007565787333,0.41741682816932,0.41691519151994905,0.4164684315935189,0.41606005092200427,0.4157156473267107,0.41539640947637785,0.41512438752865544,0.4148938896359841,0.41464227883747534,0.4144473446779487,0.41425833012832936,0.4141410853326957,0.41398089741516986,0.4138810221994522,0.4137531307925103,0.41364238271946585,0.41356559606215815,0.4134584612515983,0.41344632748447685,0.4133344354683723,0.41328171223664095,0.4132713511987642,0.413177342761657
45983.61,0.46408736986629623,0.45894607917571745,0.45479861746285644,0.451220202564597,0.44798665784712893,0.44524426187554966,0.4427805445112602,0.4405463652548786,0.43875319671824015,0.43700883671343743,0.43543438765014153,0.4340716971711138,0.43287732111593014,0.43186085612456193,0.43096710226235246,0.43015127594887,0.4293945407522435,0.42875216667483607,0.42820032097827687,0.4277088446415604,0.4272595889573597,0.4268807138449041,0.4265295233286093,0.4262302745767318,0.4259767060420242,0.42569991140084523,0.4254854661899897,0.4252775330855699,0.42514855320342704,0.42497233200220846,0.42486246022937085,0.42472176811160733,0.4245999352120605,0.4245154629422582,0.42439760495833045,0.42438425671677465,0.4242611653763711,0.42420316505168165,0.42419176697267097,0.4240883491870628
45861.99,0.47855486547930115,0.4729612619522779,0.46844892101272256,0.464555689643266,0.4610376689311595,0.4580540065198452,0.45537353988843465,0.4529428053276757,0.4509918800727648,0.4490940573542124,0.44738109374962404,0.4458985185115232,0.44459906541366395,0.4434931753749561,0.4425207921628753,0.44163319229366427,0.4408098821718247,0.4401109942619,0.4395105991042594,0.4389758843923402,0.43848710475879704,0.4380748975344094,0.43769281050046616,0.4373672348863452,0.43709135827569534,0.4367902122066748,0.4365569008535563,0.4363306745193016,0.4361903474366506,0.4359986229083179,0.43587908499983297,0.43572601527989113,0.4355934639464563,0.43550156010076096,0.4353733333821678,0.4353588108088415,0.4352248903213092,0.43516178733019734,0.43514938648792,0.4350368703659675
45741.01,0.4931055095924735,0.4870652385048791,0.48219257236347496,0.4779884537189133,0.47418950753149836,0.47096758990520654,0.4680730792348039,0.4654482425587618,0.4633415295330056,0.46129215945504576,0.45944241009670983,0.4578414463704427,0.4564382276870368,0.45524402870697056,0.4541939975108699,0.45323551988523064,0.45234646575383824,0.45159176935546225,0.4509434306782021,0.4503660172453562,0.44983820695733123,0.44939308363610597,0.44898048570117494,0.448628911808013,0.4483310055465124,0.44800581197763323,0.4477538699488783,0.44750957870094665,0.4473580460411776,0.4471510116813637,0.4470219282794019,0.44685663544102255,0.44671349944950994,0.4466142567807526,0.44647579073873994,0.4464601084903723,0.4463154940133237,0.4462473520417105,0.4462339609515648,0.4461124600487864
45620.66,0.5079905142314947,0.5015044611234627,0.49627218414242363,0.49175779457187974,0.48767847985755586,0.4842187793688225,0.48111064901213124,0.4782920950376772,0.476029903097898,0.47382928611053143,0.47184302218284857,0.4701239046793432,0.4686171261307039,0.46733479328604477,0.46620726804682383,0.46517805318335115,0.46422338538309804,0.4634129911393098,0.46271680399278625,0.46209677649130193,0.4615300129289634,0.46105203876866113,0.4606089904220856,0.46023146979273344,0.459911577555235,0.4595623841618337,0.4592918483936616,0.45902952804662184,0.4588668120253357,0.4586444981865249,0.45850588821549093,0.45832839649159995,0.4581746968266084,0.4580681298843622,0.45791944481888597,0.4579026051945892,0.45774731792937784,0.4576741469672869,0.45765976759248744,0.45752929972164746
