Wavenumber,Fit_1,Fit_2,Fit_3,Fit_4,Fit_5,Fit_6,Fit_7,Fit_8,Fit_9,Fit_10,Fit_11,Fit_12,Fit_13,Fit_14,Fit_15,Fit_16,Fit_17,Fit_18,Fit_19,Fit_20,Fit_21,Fit_22,Fit_23,Fit_24,Fit_25,Fit_26,Fit_27,Fit_28,Fit_29,Fit_30,Fit_31,Fit_32,Fit_33,Fit_34,Fit_35,Fit_36,Fit_37,Fit_38,Fit_39,Fit_40
46727.11,0.3785705503371632,0.3766747927171695,0.3751456189339591,0.373826125792973,0.37263399480240145,0.3716226827327087,0.37071430067350264,0.369890522034827,0.369229357135834,0.3685862408649496,0.3680057408315196,0.36750327046042813,0.367062881728409,0.3666881755438596,0.3663585955514335,0.36605777596685685,0.36577872169807973,0.3655419414032092,0.365338455086446,0.3651572103997848,0.36499157185968645,0.36485180341050866,0.36472230871832,0.36461196467111284,0.36451853587777794,0.36441650613456644,0.3643374417764788,0.36426071499749174,0.3642131583057438,0.36414816904812924,0.36410757662279125,0.36405578829375757,0.3640108465642849,0.3639797139002777,0.36393627167025583,0.36393129872294555,0.3638859838404024,0.3638645199999624,0.36386035936270655,0.36382213058323726
46601.52,0.3921296565556329,0.38957202881548647,0.38750897115126,0.38572880040330837,0.3841204580396974,0.38275606431335196,0.3815305367834747,0.3804191504565538,0.37952715156986006,0.37865950266938575,0.3778763313541299,0.3771984323726612,0.37660428973249405,0.37609876153527055,0.37565411453908504,0.3752482691366041,0.3748717880235634,0.374552340091985,0.37427781013994643,0.3740332870883337,0.37380981879232106,0.3736212526702366,0.3734465472050175,0.3732976784925193,0.37317163069450887,0.3730339790776537,0.37292731080246433,0.3728237962306225,0.3727596359641617,0.372671956860919,0.37261719231085766,0.3725473230060713,0.372486690669544,0.3724446885885556,0.37238607927509393,0.37237937011150835,0.3723182343421401,0.37228927678282964,0.37228366353293413,0.3722320878537379
46476.62,0.40596270271517315,0.4028137463458747,0.4002737056393941,0.39808195586783424,0.3961017615454129,0.3944219172712182,0.39291304533478205,0.39154470427483234,0.3904464734683818,0.38937822241347764,0.38841398032980157,0.387579349753221,0.3868478401509209,0.386225432827322,0.38567798255973623,0.3851783048916251,0.384714780595176,0.38432147566537206,0.3839834738414687,0.38368241657315333,0.3834072819618807,0.38317511897668494,0.38296002125983697,0.382776733804414,0.3826215435043751,0.38245206655945607,0.38232073636652486,0.38219328901943833,0.3821142947715435,0.3820063440849457,0.38193891786180134,0.38185289463454586,0.38177824398101406,0.3817265309352193,0.3816543710317163,0.3816461106961429,0.38157084021509435,0.3815351876103783,0.38152827656592353,0.3814647764869416
46352.38,0.4200589429292102,0.4163777210936808,0.41340833942710886,0.4108461200214205,0.4085312151058238,0.4065674281563615,0.40480351285617466,0.4032038822492061,0.40192001840638714,0.40067120176749027,0.3995439746493973,0.39856826716323945,0.39771311110355534,0.3969854987896585,0.3963455134603755,0.39576137569317393,0.39521950227186425,0.39475971733812176,0.3943645833481012,0.39401263862105684,0.39369099823613385,0.39341959293536927,0.39316813743101436,0.39295386905001684,0.39277244706312125,0.39257432357168853,0.3924207947458857,0.39227180508011916,0.39217945850045016,0.39205326099941823,0.3919744377780657,0.39187387411652286,0.39178660532534576,0.39172615126659244,0.3916417942348422,0.3916321376616429,0.39154414427402146,0.39150246533929445,0.3914943861267651,0.3914201526824451
46228.8,0.43440255669388833,0.43023293507960797,0.4268695958049984,0.4239674383442946,0.42134540739850457,0.41912107839140955,0.4171231386610642,0.41531127981319305,0.41385708154207984,0.4124425803024204,0.41116580026421673,0.4100606424646424,0.40909203004481276,0.4082678830179861,0.40754298873531997,0.40688135149402865,0.40626758594806495,0.40574679983864076,0.40529924212575713,0.40490060373706976,0.4045362902669995,0.40422887673452057,0.40394405980339504,0.40370136373329096,0.40349587189616115,0.4032714627110907,0.4030975647122512,0.40292880809870285,0.4028242095953265,0.4026812690577874,0.4025919881010446,0.4024780823285825,0.40237923530055725,0.4023107606034835,0.40221521164756147,0.4022042739051133,0.4021046061460559,0.402057397530313,0.4020482464221501,0.40196416418321745
46105.88,0.44897994496845867,0.44434901786193065,0.44061357602665807,0.4373903387894573,0.43447821982417084,0.43200780249481063,0.42978882098752536,0.427776507394591,0.42616142410528235,0.4245904297228372,0.42317239330731665,0.42194496653230384,0.4208691918156374,0.41995386540011215,0.4191487725419332,0.41841393515887404,0.4177322657493235,0.4171538625430047,0.4166567893464273,0.4162140476564974,0.41580942841765717,0.41546800423288355,0.4151516766212292,0.4148821299060445,0.41465390350883957,0.4144046668456044,0.41421152966648045,0.4140241026890754,0.41390793194520525,0.4137491772016947,0.413650018659044,0.41352351093770107,0.4134137279828367,0.4133376775974243,0.4132315575963996,0.41321940975837657,0.4131087152710195,0.4130562837368111,0.4130461201971025,0.41295273553166495
45983.61,0.463779405778149,0.4586988888052217,0.454600794577236,0.4510646319224006,0.44786979220888723,0.445159536382503,0.44272512682453724,0.4405174493706331,0.4387455670077134,0.4370220538880327,0.4354663485375586,0.43411975801258856,0.43293954256515355,0.43193535241426784,0.4310520977577662,0.4302459192731793,0.42949807053242384,0.428863513511918,0.4283181823603137,0.427832457446367,0.42738855607128323,0.42701398499171145,0.42666694696605356,0.4263712315229056,0.4261208479478683,0.4258474143418724,0.4256355265936806,0.4254299034175895,0.4253024543296611,0.42512828700843475,0.42501950173771924,0.4248807121151007,0.4247602709695814,0.424676837293128,0.4245604147164019,0.42454708751520853,0.4244256463417912,0.4243681245338821,0.4243569742750233,0.42425452343378717
45861.99,0.47878140156286225,0.4732520707481637,0.46879195009172514,0.4649434021511596,0.46146632968587975,0.45851664934106484,0.45586718357681577,0.4534644794740965,0.451536068684108,0.44966030008556385,0.4479671634266755,0.4465016148369995,0.44521713893105136,0.44412423843004006,0.443162956888133,0.4422855604419195,0.4414716466002716,0.4407810326911236,0.44018752688121315,0.4396588929354034,0.4391757772278845,0.4387681164674525,0.4383904210361868,0.4380685820341929,0.4377960795262148,0.4374984907431315,0.43726788479071027,0.4370440968238881,0.4369053888591391,0.43671583556342103,0.43659744018106955,0.4364463898566253,0.43631530891725906,0.436224504693859,0.4360977973244223,0.4360832927957248,0.43595112348580456,0.4358885201903754,0.4358763849155149,0.4357648835473555
45741.01,0.49394920673355325,0.4879674746225241,0.4831424337914056,0.4789790036099957,0.4752174424527848,0.47202642382374066,0.46916018286797234,0.4665608932312714,0.4644747028526699,0.4624454617682072,0.46061379528626867,0.45902833777740815,0.45763876803923503,0.45645644810936564,0.45541651599829003,0.4544673323317121,0.45358682531823147,0.4528397064470487,0.45219764090960857,0.45162575495186763,0.45110311146428206,0.45066209653086553,0.4502534986435072,0.44990532727208354,0.4496105290303188,0.44928859199321486,0.4490391182183911,0.44879702026620427,0.4486469634302868,0.448441901177051,0.4483138188676101,0.44815040983921417,0.44800860406010135,0.44791037037556847,0.44777329600511323,0.44775760473830845,0.44761462153984605,0.4475468961395988,0.44753376797531597,0.447413143737647
45620.66,0.5092142047527951,0.5027796368939305,0.49758932544678625,0.49311071063578005,0.4890643875855191,0.4856317989094686,0.4825485745879142,0.4797525106315633,0.47750838914493376,0.4753255281913488,0.4733551988529436,0.47164971727356964,0.470154952779116,0.46888312754882766,0.4677644693386095,0.4667434295127269,0.46579626537643926,0.4649925872801901,0.46430191538218263,0.46368673587659576,0.4631245266494954,0.4626501255123049,0.4622105954925054,0.46183606646406417,0.4615189510774002,0.4611726424040801,0.4609042826876442,0.4606438571665873,0.4604824405609159,0.46026185445654916,0.46012407591743704,0.4599482963167381,0.4597957553985652,0.45969008511821485,0.45954263379106847,0.4595257546465042,0.4593719471746705,0.4592990947507286,0.45928497274352864,0.4591552168754459
