Wavenumber,Fit_1,Fit_2,Fit_3,Fit_4,Fit_5,Fit_6,Fit_7,Fit_8,Fit_9,Fit_10,Fit_11,Fit_12,Fit_13,Fit_14,Fit_15,Fit_16,Fit_17,Fit_18,Fit_19,Fit_20,Fit_21,Fit_22,Fit_23,Fit_24,Fit_25,Fit_26,Fit_27,Fit_28,Fit_29,Fit_30,Fit_31,Fit_32,Fit_33,Fit_34,Fit_35,Fit_36,Fit_37,Fit_38,Fit_39,Fit_40,Fit_41,Fit_42,Fit_43,Fit_44,Fit_45,Fit_46,Fit_47,Fit_48,Fit_49,Fit_50,Fit_51,Fit_52,Fit_53,Fit_54
40040.04,0.23572441700651373,0.2303849466177788,0.22557614856333716,0.2211528612973388,0.21716360429760045,0.21342984220117672,0.2101659940696401,0.20704887545086903,0.20430261120124843,0.20180641691257178,0.19955331468876314,0.19754432623521034,0.19575597642327885,0.1941072187720621,0.19269343065346015,0.19135914790056083,0.19022332341464915,0.1892240808917729,0.1882997898000234,0.1875002002818965,0.18677547599573857,0.18614617245220894,0.18560088896523774,0.18511732945268058,0.18471377954448026,0.18430120836613076,0.18397381112524414,0.18366295410777905,0.183376958554014,0.18319072440142886,0.18296145755586146,0.1827474263682223,0.18261406762283458,0.1824378096366639,0.18233237352052553,0.1822124264740085,0.1821471774651387,0.18204545001134714,0.18199590122421264,0.18189954624749535,0.181855912948532,0.1817786279266641,0.1817737768789656,0.18173289584691021,0.18169415048087978,0.18165418237276812,0.18161503767547524,0.18157807645598043,0.18154380707211182,0.18155544739904367,0.1815426675904335,0.18153712345639678,0.18152345577945397,0.1815142153445173
39947.79,0.23930861048274668,0.23356729034627158,0.22839658106385735,0.2236403961989185,0.21935090681613378,0.2153361409408081,0.21182665486152905,0.20847494119129523,0.20552199247381686,0.2028379340390385,0.20041526283284905,0.19825507745441467,0.1963321360316163,0.19455929250708448,0.19303910237527597,0.1916044012009546,0.19038309430762967,0.18930864856673463,0.1883147951186058,0.1874550283127028,0.18667576111304016,0.1859990960426533,0.18541277439726317,0.184892822086546,0.18445890092108522,0.1840152795426458,0.183663242311445,0.1833289901246172,0.1830214704808642,0.1828212203038818,0.18257469878372143,0.18234455956054696,0.1822011642058532,0.1820116410038234,0.18189826974176454,0.1817692954534284,0.1816991357894101,0.1815897523044641,0.1815364744644159,0.18143286779038248,0.18138595063948162,0.1813028491294078,0.18129763299076357,0.18125367524299996,0.18121201389196878,0.18116903777501112,0.1811269470389565,0.18108720410973225,0.18105035560429164,0.18106287198485813,0.18104913036496476,0.18104316897814793,0.1810284726687506,0.18101853679659305
39855.97,0.24340875568400455,0.23724375825691077,0.2316914795710709,0.22658431488453024,0.22197828519452767,0.21766725206914567,0.2138987855605945,0.21029973418178863,0.20712887437727495,0.20424674745328544,0.2016452966723119,0.1993257017039899,0.1972608579673223,0.19535718851368186,0.1937248168589901,0.19218424276834725,0.19087281026222283,0.18971907643956287,0.18865188216978224,0.18772866938591076,0.18689189662864583,0.18616529746351018,0.1855357085624637,0.18497738668150498,0.18451144456278704,0.18403508640966687,0.18365707080123464,0.18329815267390318,0.18296793980169745,0.1827529122824988,0.18248819885398665,0.18224107664428263,0.18208709951502836,0.1818835905614925,0.18176185313485801,0.1816233612659406,0.18154802421141714,0.18143056883752598,0.18137335939109014,0.18126210712442284,0.18121172775039124,0.18112249381401177,0.18111689275353146,0.18106969117002425,0.18102495544447486,0.18097880793063265,0.18093361113384848,0.18089093539889756,0.18085136768000473,0.18086480769940008,0.18085005202487348,0.18084365072107678,0.18082786990630448,0.180817200822395
39764.57,0.24799352584461595,0.24137482490745885,0.23541393480557127,0.22993091618362232,0.22498591281803865,0.2203576158358399,0.21631181482671435,0.21244789679341702,0.20904368243519272,0.20594944981005314,0.2031565492572764,0.20066624726247162,0.19844944452466295,0.19640567744351642,0.1946531739058483,0.19299922363286257,0.191591278267118,0.19035263717706502,0.18920690438527446,0.1882157491755494,0.18731739541333092,0.186537323299418,0.18586140077087532,0.1852619900492266,0.18476175763643335,0.18425034263719542,0.18384450755106954,0.1834591753958133,0.18310466101481382,0.1828738088758364,0.18258961426941675,0.18232430548051567,0.18215899664109636,0.18194051075891773,0.18180981425348017,0.1816611302883314,0.18158024891907307,0.18145414959746894,0.18139272990975347,0.1812732902035152,0.1812192032368847,0.18112340226610968,0.18111738900419214,0.18106671369269542,0.1810186857101829,0.1809691420409881,0.18092061905541193,0.18087480266533978,0.1808323230209905,0.18084675213795598,0.18083091054224204,0.1808240381443312,0.1808070959647508,0.18079564170600937
39673.59,0.2530162325372188,0.24590985897561154,0.23950976442142324,0.2336227514044015,0.22831339515566051,0.22334408053911425,0.21900018079205552,0.21485156534368394,0.21119652500525166,0.20787430616963237,0.2048756218602948,0.20220183187879734,0.19982169285803833,0.19762733893731543,0.1957457091545295,0.19396989414131824,0.1924582099274048,0.1911283045006076,0.1898981529500914,0.18883396841528377,0.18786942303312876,0.18703187441156513,0.18630614922287073,0.18566257330890928,0.1851254832625867,0.1845763866854637,0.1841406492569561,0.18372692543614147,0.18334629007457057,0.18309842851493136,0.18279329416053347,0.18250843714991916,0.182330948186888,0.18209636404244023,0.1819560376854021,0.18179639853430582,0.18170955774340422,0.18157416729538542,0.1815082221425393,0.18137998199712757,0.18132190984772242,0.1812190501638727,0.18121259383869417,0.18115818471864692,0.18110661798547906,0.18105342388829082,0.18100132567972954,0.18095213349138498,0.18090652390358575,0.18092201617258147,0.18090500735196485,0.1808976285887782,0.1808794380921552,0.18086713987196654
39583.03,0.2584177341543625,0.25078917054642413,0.2439187846906596,0.23759918259378443,0.2318996845995409,0.22656521515298855,0.22190211726773612,0.21744865354838433,0.21352503379076987,0.20995869190242128,0.2067396584818457,0.2038693932514448,0.2013143570211949,0.19895875773874214,0.1969388621675153,0.19503255683937973,0.1934097911515108,0.1919821617069126,0.19066161624597364,0.1895192333774141,0.1884838113387719,0.1875847180278238,0.18680566515143854,0.18611479803706166,0.18553824157742124,0.1849487963239217,0.18448104006808846,0.18403691502233308,0.1836283098396754,0.18336223493420095,0.18303467871845863,0.1827288898648613,0.18253835867022988,0.18228653683004378,0.18213589902142663,0.18196452927736548,0.18187130725752462,0.18172596805804905,0.18165517712808166,0.18151751364925048,0.1814551742462137,0.1813447562342506,0.18133782548583566,0.18127941827862454,0.1812240623223672,0.18116695942024008,0.18111103293475153,0.18105822600945456,0.18100926494110625,0.18102589561193164,0.18100763695034497,0.18099971598139658,0.1809801888119696,0.18096698689482293
39492.87,0.2641308176189131,0.25594748708604353,0.24857747075851797,0.2417982924685015,0.23568431369669357,0.22996190919931148,0.224959699967886,0.22018236998748525,0.2159734154565897,0.21214772087429576,0.2086945918409989,0.20561559423351594,0.2028747498137573,0.20034784586145338,0.19818105877665698,0.19613612248216633,0.19439534549140858,0.19286389550632266,0.19144731690176092,0.19022185728852756,0.18911113694604922,0.18814665947407486,0.18731095205683454,0.18656984347574432,0.18595135848661884,0.1853190474005058,0.18481727481958146,0.18434085196540742,0.18390253206155927,0.18361710756883645,0.1832657307016729,0.18293770416996116,0.18273331710279833,0.1824631821914903,0.18230158965034945,0.18211775749910064,0.1820177561567109,0.18186184755191748,0.18178590854053542,0.18163823385268094,0.18157136098296525,0.1814529131158286,0.1814454783472359,0.18138282363179078,0.18132344206138015,0.1812621865031246,0.18120219291326733,0.18114554574528935,0.18109302411394063,0.18111086420590836,0.1810912777318969,0.18108278073162573,0.18106183350092742,0.18104767150959705
39403.13,0.27007983163840404,0.2613132274601731,0.25341790712928824,0.2461555373052271,0.23960577964466837,0.2334755060384908,0.2281167602109258,0.22299892208881306,0.21848997084599997,0.21439159672130076,0.2106923430629427,0.20739388735690667,0.20445768698645533,0.20175067586704892,0.199429449242435,0.19723875842388736,0.1953739061147636,0.19373330076660125,0.1922157543515246,0.19090294909179892,0.18971306123915685,0.1886798398384498,0.1877845666845267,0.1869906349769643,0.18632806695920406,0.18565068737796936,0.1851131505417406,0.18460277025498192,0.18413320873781688,0.1838274403785379,0.18345101883483553,0.18309961194103794,0.1828806570167844,0.18259126801646883,0.18241815783343926,0.18222122289371542,0.18211409387301888,0.1819470727535964,0.181865721126432,0.18170752080318173,0.1816358815144221,0.18150899117768546,0.1815010264898182,0.1814339060077601,0.1813702919668533,0.18130467036806952,0.18124040068552436,0.18117971594384297,0.18112345078982284,0.1811425624490863,0.18112157993295597,0.18111247730196967,0.18109003704009533,0.18107486564113126
39313.79,0.27618912784436433,0.2668158073226932,0.258374070182739,0.2506090885862305,0.24360603738835185,0.23705150176337986,0.231321889565231,0.22584985773610938,0.22102885243505754,0.21664683934224316,0.21269156891759494,0.20916483474200792,0.2060254267536295,0.2031310696728192,0.20064919633696454,0.19830689288757203,0.19631297847514753,0.19455883063577323,0.192936258352842,0.19153259688578264,0.19026035965447785,0.18915563139690167,0.18819839846433623,0.1873495205846004,0.18664109777097584,0.18591683831992015,0.1853420998059253,0.18479639728320724,0.18429433850245844,0.18396740862417962,0.18356493581844419,0.18318920886851883,0.18295510058176365,0.18264568363989467,0.18246059290257927,0.18225002855241376,0.1821354853806512,0.18195690511691315,0.1818699233323055,0.18170077433158535,0.18162417705379835,0.18148850493114352,0.18147998902570092,0.18140822329074713,0.1813402066696045,0.18127004355216017,0.18120132591394197,0.18113644132203044,0.1810762821871922,0.181096716520069,0.1810742818526605,0.1810645492496947,0.18104055594934004,0.18102433457303962
39224.86,0.2823814190539986,0.2723839130870646,0.2633800262325761,0.2550979612306651,0.24762856487580176,0.24063755151296662,0.23452639463886044,0.2286899708511094,0.22354792656142009,0.21887410772194824,0.214655449074798,0.21089386363848397,0.20754539710265085,0.20445829983344532,0.2018111543072666,0.19931287286500382,0.19718618028155036,0.19531522073733304,0.19358459859090346,0.19208746490599032,0.19073050722147306,0.1895522132197451,0.18853123650899,0.18762583039935832,0.18687023249891857,0.18609774337227478,0.18548473203762497,0.18490269025057293,0.18436719851691433,0.1840184978188741,0.18358922366063252,0.18318847641048439,0.18293877845250545,0.18260875690726394,0.18241134066117945,0.18218675447079621,0.18206458367331627,0.1818741114443799,0.1817813373939653,0.18160092447198203,0.18151922645045848,0.1813745196891083,0.18136543669495703,0.18128889195696762,0.1812163459926904,0.18114151059325148,0.18106821692997266,0.1809990115621099,0.1809348463275892,0.18095664141764228,0.18093271278735973,0.18092233207371622,0.18089674101845382,0.18087943943296123
