Wavenumber,Fit_First,Fit_Last
40040.04,0.23572474014995085,0.18151387399440935
39947.79,0.23930895794603188,0.18101816975639884
39855.97,0.24340912878813536,0.18081680669668884
39764.57,0.24799392640677181,0.18079521857522762
39673.59,0.25301666261320216,0.18086668556447796
39583.03,0.2584181958331593,0.1809664992039432
39492.87,0.264131312872068,0.18104714835269992
39403.13,0.27008036219113674,0.181074305195794
39313.79,0.27618969511542124,0.18102373534058036
39224.86,0.2823820241006054,0.1808788002965876
39136.33,0.28858380890302077,0.18062854682574933
39048.19,0.2947249862111477,0.1802662445581441
38960.46,0.3007373761581482,0.1797884921017263
38873.11,0.3065607545649188,0.17919403092723235
38786.16,0.3121372401462365,0.1784837123941688
38699.6,0.3174187465981837,0.17765959985950008
38613.42,0.3223671252892706,0.17672480471975235
38527.62,0.326954982488653,0.17568338970930525
38442.21,0.33116511016585076,0.1745402629629689
38357.17,0.3349888596906747,0.1733004965548234
38272.51,0.3384171734111472,0.1719700218097016
38188.22,0.34143584066802823,0.17055484071486232
38104.3,0.3440179007397365,0.16906138950654476
38020.75,0.3461204363628414,0.16749632588097657
37937.56,0.34768463197680904,0.16586626219335784
37854.74,0.34863859697935284,0.16417828928942724
37772.28,0.34890411614782263,0.16243913903646728
37690.18,0.3484032910369751,0.16065572841255188
37608.43,0.3470655013970139,0.15883470007287545
37527.04,0.3448335310672742,0.15698305431125645
37445.99,0.3416663857305602,0.15510699910828396
37365.3,0.3375436416759961,0.15321353221742298
37284.96,0.332463583118517,0.1513088179165218
37204.96,0.3264432533760438,0.14939886339405425
37125.3,0.3195180403892543,0.14748976372810466
37045.98,0.31173940247554843,0.14558746914513318
36967.0,0.30317277094380163,0.143697786513505
36888.36,0.29389531279659525,0.14182637984295277
36810.05,0.2839923337859553,0.13997853309603764
36732.07,0.2735573893487127,0.13815962167552184
36654.43,0.26269043819950444,0.136375087421863
36577.11,0.25149002486092675,0.13462950253484904
36500.11,0.24005816532137664,0.13292770446686977
36423.44,0.22849737922694474,0.1312745061560432
36347.09,0.21690445505898168,0.12967400761770115
36271.06,0.20537344219341302,0.1281302175662336
36195.35,0.19399289087036858,0.12664679030882095
36119.95,0.1828433095584349,0.12522680533623384
36044.87,0.1720007629013554,0.12387330773171373
35970.09,0.16152893446742897,0.1225883688206417
35895.63,0.15148864619800081,0.12137431941378532
35821.48,0.1419276610066457,0.12023253259112841
35747.63,0.13288503783738032,0.11916400082667604
35674.08,0.12439236573109812,0.11816950300960237
35600.84,0.11647364413076293,0.11724960310585952
35527.89,0.10914139429860491,0.11640421044987553
35455.25,0.10240453549194331,0.11563349043531143
35382.9,0.09626096393157228,0.11493699035068612
35310.85,0.0907049412647972,0.11431444945850527
35239.09,0.08572342062419479,0.11376532026795998
35167.62,0.08129935672158049,0.1132890579028131
35096.43,0.07741111943462263,0.11288494666804262
35025.54,0.07403540141105495,0.11255226852902256
34954.93,0.07114432517789902,0.11228985336023183
34884.61,0.06870965018384233,0.11209632955185048
34814.57,0.06670117040117039,0.11196979094352588
34744.81,0.06508845102382382,0.11190776912942997
34675.33,0.06384085528672431,0.11190705668462517
34606.12,0.06292783106693794,0.1119635966470572
34537.2,0.06231972214104268,0.11207234448050395
34468.54,0.0619872023167265,0.11222731174931735
34400.16,0.06190240005374461,0.11242140184539783
34332.05,0.06203851394247823,0.11264660812836336
34264.21,0.06237023166595785,0.11289404925445903
34196.63,0.06287392335087713,0.11315421567220153
34129.33,0.06352747820031207,0.11341706585823876
34062.28,0.06431115261451724,0.11367264128693753
33995.5,0.06520672555290498,0.11391102485709326
33928.98,0.06619842487282963,0.11412301602955166
33862.72,0.06727253648821901,0.11430034248920336
33796.72,0.0684175281503417,0.11443603854745918
33730.98,0.06962401697185033,0.11452473179759971
33665.49,0.07088488285906924,0.11456285480466953
33600.25,0.07219476621117488,0.11454873020331202
33535.27,0.07354984932860123,0.11448261326875045
33470.54,0.07494826775155285,0.11436655090357917
33406.05,0.07638949365117208,0.11420413241642463
33341.82,0.07787338108333013,0.1140002616709074
33277.83,0.07940149760701087,0.11376053848167421
33214.09,0.0809752837816093,0.11349097570473099
33150.59,0.08259700616365559,0.11319731138561474
