Wavenumber,Residual_1,Residual_2,Residual_3,Residual_4,Residual_5,Residual_6,Residual_7,Residual_8,Residual_9,Residual_10,Residual_11,Residual_12,Residual_13,Residual_14,Residual_15,Residual_16,Residual_17,Residual_18,Residual_19,Residual_20,Residual_21,Residual_22,Residual_23,Residual_24,Residual_25,Residual_26,Residual_27,Residual_28,Residual_29,Residual_30,Residual_31,Residual_32,Residual_33,Residual_34,Residual_35,Residual_36,Residual_37,Residual_38,Residual_39,Residual_40
15129.56,0.0004661343656518583,0.0008335889525049787,0.0010545162460370492,0.0008885142020632998,0.0007447761927891675,0.0007286717944257101,0.0011787999472777032,0.0007763372780658546,0.000788484372019888,0.0012630546813555473,0.00044740580745010326,0.0002492576547948472,0.00044098955952783246,0.0002469060862128943,2.5130979449581683e-05,0.00018739293829170351,0.0007115330033434758,0.00036752746333248493,0.0004116649824103523,0.0008347312156837618,0.0004943175308675215,0.000603737321998429,0.0004851702810825788,0.000639927945844976,0.001013807338031544,0.000773775682909268,0.0005803736837869713,0.0005609747820951933,0.0004463134338621411,0.0005040296156794796,0.0008104773560633757,0.0007621104370006058,0.0003720524881717601,0.0005748123096229183,0.0007781562514303929,0.0006247499024477439,0.00023859135505172873,0.0007238637676685103,0.0005227583462648317,0.0005273091564353186
15116.37,0.0002991811873351003,0.0006692723454310666,0.0009044291408603502,0.0004270525510163366,0.0008514375427270218,0.0006462526516886881,0.000652598329557541,0.000599551552602533,0.0006682114017976067,0.0008126941191874269,0.0002179564447185658,0.00016281798520992045,0.0002981583858283541,-9.378785712551695e-05,-0.0003987366064016719,-0.00020131884438987418,0.00043992660350218306,0.0003430256328532059,0.0002800670773428419,0.0004356368066061778,0.00019272631745416175,0.0003892488036152825,0.0002366842608024242,0.00042164405419349365,0.0007384252500743125,0.0006103955638591944,0.0005447950901374935,0.00032559766752412523,0.00021463723675613688,0.00040765467207745567,0.0005990031940058176,0.0006459372757200733,0.00018418019351807758,0.00020514061584089985,0.0006692853960006892,0.0005792791419673074,8.06214701497361e-05,0.0005422942953368403,0.0005466889550104517,0.0003100405008166338
15103.2,0.00010492375677574519,0.0007574509702381677,0.000662936851408935,0.00046488535663700634,0.0004627930248790836,0.00019572736599424476,0.0003944903216709011,0.0005204592127954991,0.00024163163730533282,0.00039682658772047485,-0.00015800004529180274,4.913105161399036e-05,0.0002613198282743457,-0.00034534928631041353,-0.0001241617677785485,0.00014836171554302678,7.060247034466504e-05,3.0660046019763224e-06,0.00017066131913126074,8.563449506985611e-05,0.0003541271565038118,0.0004562522996788699,0.0001228902197305962,0.0002847521117237599,0.0005560350858557984,0.0003376073407743023,0.00030930837093579494,0.0003027124065368575,0.0004514528802921097,0.00038907155143539805,0.00036222084388370745,0.0006484559122579613,8.859968445811949e-05,4.922069917667006e-05,0.0004691063058629206,0.0005887001454394453,0.0001107433368493499,0.0004082165687870323,0.00040611130839425194,0.0005966635794592033
15090.06,0.0005869620919417609,0.0008776248237566923,0.001097139357461619,0.0008047125839920691,0.0007975425910179344,0.000670295877840059,0.0008909758539863006,0.0007490601798278155,0.0006686449923538157,0.0005513519935937957,0.00022173623758501838,0.0004046167485706034,0.0007140737765188764,0.00045751168413224783,0.0003656053771184755,0.0005292344965357964,0.0006850904792051215,0.0002031984512719824,0.0006438475781999738,0.0007443241494785388,0.00046471991457317397,0.0005836476751882118,0.0007501880214222542,0.000712051980760623,0.001072036706658345,0.0006307108737989406,0.0008753133854445685,0.000834518857541201,0.0009237602223475912,0.0009703801109063345,0.0007044301623983536,0.001114466202737146,0.0005825108166138663,0.0003339724149049158,0.0009740188358072205,0.001072312767599412,0.0007295568093797551,0.0008586304420098125,0.0007098252603600974,0.0006838782458817068
15076.94,0.00100349642073416,0.0011381941671426208,0.0015493369470010515,0.0009702345442101275,0.0008830865731874356,0.0009910585370083958,0.001183955292221855,0.0009699548338687467,0.0010401518587109181,0.0009783707398581456,0.0005876657065836585,0.0005414554981285625,0.0008722206603362288,0.0005689654905514626,0.0006230652704193868,0.0005925999459953605,0.0009043610823852033,0.0006114734293198877,0.0007675263145751006,0.0009205062330373194,0.0006792050577732237,0.000694735398704929,0.0008089781367105945,0.0007383441340728841,0.0011014305868908892,0.0007451066391324127,0.0012982106112501954,0.0011501174994684928,0.0012130597426881877,0.0012449808313957074,0.0009707316311658727,0.0012438686296837708,0.0009102140732995028,0.0008149762468862065,0.001221723470456489,0.0012247174931564466,0.001070662373246372,0.0009826364008857602,0.0008629312968622924,0.000721684986707377
15063.84,0.0010546268579780793,0.0010573591209155795,0.0013085297451405841,0.0009467513663679823,0.0009995251040458596,0.0009268154791950033,0.0011712287748021238,0.0007598433158174276,0.0009874523792618862,0.001031682971330823,0.0005006885082652746,0.0004081874483583393,0.0008742606291197645,0.0004800122834664282,0.0004954180636333038,0.000547758216334446,0.0005776244331357966,0.0007509410927080719,0.0005104976828302447,0.0009622809008641604,0.0007909827417195186,0.0007452156262642207,0.0006587607220197944,0.0008772287284161683,0.0009028168835899082,0.0007405947941177737,0.0011956002059332496,0.0009215084901296135,0.0009105515992676382,0.0010563738710524385,0.00100532540845688,0.0008138633515242815,0.0008492096130764166,0.0009570723537754914,0.0010371203685962146,0.0010981144809108223,0.0010100601873858097,0.0008181346044157248,0.0009351295769143114,0.0008085839610642341
15050.77,0.0010637534197897116,0.0009613196810290683,0.001246717731568541,0.0012051630161204233,0.0009721581365669451,0.0010555666466187158,0.0010964962342839362,0.0010585255494688663,0.000919146470769427,0.0011309885979336458,0.00040130454637713934,0.0007882124976631186,0.0006811935765886621,0.00046675195261003415,0.00041446364298806503,0.0005618091905814508,0.0004310804115175972,0.0006128013189780202,0.0005709615583427079,0.000839548026408932,0.0007658528381000746,0.0008639882280682619,0.0006011356461747587,0.000868705631441811,0.0010611954634123133,0.000765475204326424,0.0009227820342241381,0.0009471916934395148,0.0007656356554950715,0.0009532590925945667,0.0011567113565585285,0.0007235502299940762,0.0006093972972022119,0.0007865605964990979,0.0008355093906905189,0.0009212035912743131,0.0009258501117271126,0.0008015249123012901,0.0009247199601730376,0.0005999750282035857
15037.71,0.0005683764082485016,0.00098997620725355,0.0013099013125945334,0.0008379699399308699,0.0005702861534980913,0.0009357125527996759,0.0009285582118330929,0.0008925021010588473,0.0008560347195906767,0.0009643882255974168,0.0004925144445171303,0.0007977312849316859,0.0005784201550339392,0.0003601851616791693,0.00012960268220947534,0.00019705355161666116,0.0003401297089023047,0.00035455480670958626,0.0005446186458846685,0.0005397083199587254,0.0006331160622431333,0.0004615539236966949,0.0005331036326958796,0.0003173755700281092,0.0009935670560817231,0.0005732486025879273,0.0005178568313587395,0.0006503678469673168,0.00046761265038690574,0.0008657372370159085,0.0010250902176975189,0.0004880300088985781,0.00033667787084941235,0.0004677417211774232,0.0009541912841822976,0.0006667855718395961,0.0004118328952441797,0.0007223080741671839,0.0007589031963910982,0.0002959589390385218
15024.68,0.0007504957402821791,0.0011318285708031826,0.001477080322555736,0.0009259719403191696,0.0005391089286082177,0.0010300529471229032,0.0009422144349285732,0.0010340726782012385,0.0009194168173956199,0.0009945815304822155,0.0006298178648461794,0.0005938434602086671,0.0005737400038804767,0.0007501115410608586,0.0006230348037377843,0.0004603909146264409,0.0006197719337478036,0.0006257011586490122,0.0006846685432956556,0.0006864613749831281,0.0008112720036237437,0.0006268122992558172,0.00038176426456685826,0.0005920381244980065,0.0009612312396664876,0.0005216145645095252,0.000719324171037564,0.0008747365225647015,0.0008893821546480037,0.0010835078734544635,0.0008227615600349299,0.0006859022551479079,0.00047335089984486706,0.0008761152928862346,0.001090265613099388,0.0008335599865158239,0.0007947081007517024,0.0006829836523123894,0.0007160788477661309,0.0007123352548471455
15011.68,0.0007699115258029569,0.0010029768881983166,0.0012642548833032613,0.001122769143735797,0.0005539265925038969,0.0008789879637197913,0.0010152650408684042,0.0010443374210656726,0.000680292906658662,0.0010618686573044861,0.000694414954104381,0.00046634917198563246,0.0008288532731549849,0.0007035312420882819,0.0008116601600549201,0.0006484214331413055,0.0007051072405572461,0.0006867405301250986,0.0005809114066137607,0.0005706073481519297,0.0006124208194891271,0.0005909635124798206,0.00023561769997327447,0.0005404934534217091,0.000906088173062726,0.0005738732493431032,0.0006146842127881258,0.0007713978800264406,0.0007434443282389159,0.0009646711620972805,0.0006370255438990297,0.0005959671292511661,0.0005316165448542691,0.0007463814723997977,0.0008813325383675399,0.0009703269962459025,0.0006723758893507969,0.0007001518079125715,0.0007523470754884507,0.0008294041369526949
