Wavelength [nm]	Abs_Stable	Abs_PSS	EpsilonAvg_Stable	EpsilonPlusError_Stable	EpsilonMinusError_Stable	Abs_Metastable_before_rescaling	Abs_Metastable_rescaled	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable	EpsilonAvg_Stable * total_conc_avg	EpsilonAvg_Metastable * total_conc_avg
320.109	0.07912	0.07089	1526.6838536440794	1557.647612403949	1495.7200948842096	0.04003319999999999	0.06562819672131147	1364.1576609766055	1371.5028626780465	1356.812459275165	0.07344716167666032	0.06562819672131147
320.685	0.0780818024263431	0.06907315424610046	1490.6885326238848	1523.4413607097115	1457.9357045380582	0.038621251299826645	0.06331352672102729	1316.0445789285195	1323.1307194508677	1308.958438406172	0.0717154644714642	0.06331352672102729
321.262	0.07705	0.06718	1476.0720153246054	1504.9671692210864	1447.1768614281245	0.037130500000000004	0.06086967213114755	1265.2462463877948	1272.0588672068989	1258.4336255686912	0.07101227912849524	0.06086967213114756
321.839	0.07629	0.06584	1468.0717423400324	1501.21062398406	1434.9328606960048	0.03608689999999999	0.05915885245901638	1229.6848889395965	1236.3060323725406	1223.0637455066533	0.07062739437193427	0.05915885245901637
322.415	0.07527176776429806	0.06414294627383009	1444.2182246143354	1476.2101351310725	1412.2263140975983	0.03478695684575385	0.057027798107793196	1185.3884696501327	1191.77110243021	1179.005836870056	0.06947982661009902	0.057027798107793196
322.992	0.07564	0.06359	1454.3982548315503	1486.4980294096852	1422.2984802534154	0.03409039999999999	0.05588590163934425	1161.6528362898011	1167.9076663828941	1155.3980061967088	0.0699695772047964	0.05588590163934425
323.569	0.07498	0.06283	1450.3817647060432	1481.6935835008044	1419.069945911282	0.033587799999999994	0.055061967213114744	1144.5264102132737	1150.6890243862017	1138.3637960403462	0.06977634807034483	0.055061967213114744
324.146	0.07475	0.06178	1448.6036169895017	1477.9207312840729	1419.2865026949305	0.032627500000000004	0.05348770491803279	1111.8035551370913	1117.789975620934	1105.8171346532492	0.0696908032455207	0.053487704918032786
324.722	0.07454036395147315	0.060761767764298154	1428.756632934717	1462.0061352678492	1395.5071306015845	0.031691025823223626	0.05195250134954693	1079.8925806819827	1085.7071789853198	1074.0779823786463	0.06873598562353142	0.05195250134954693
325.299	0.07423	0.06011	1427.2574342328842	1459.1843879401151	1395.3304805256532	0.031160299999999995	0.05108245901639344	1061.807748651852	1067.5249705720935	1056.090526731611	0.06866386074372993	0.05108245901639344
