Wavelength [nm],Epsilons_averaged,Error_averaged
320.109,1526.6838536440794,30.96375875986969
320.685,1490.6885326238848,32.75282808582664
321.262,1476.0720153246054,28.89515389648096
321.839,1468.0717423400324,33.13888164402772
322.415,1444.2182246143354,31.991910516736997
322.992,1454.3982548315503,32.09977457813498
323.569,1450.3817647060432,31.311818794761226
324.146,1448.6036169895017,29.317114294571216
324.722,1428.756632934717,33.249502333132355
325.299,1427.2574342328842,31.92695370723098
325.876,1432.339223116337,33.85864893357505
326.452,1434.4001671563205,33.4768575726885
327.029,1445.1048585184722,29.74148104202413
327.606,1436.83462037413,31.352445930489797
328.182,1431.9145510139492,32.930171863894536
328.759,1431.345847876303,32.63205779729313
329.336,1433.3724986411125,33.49447111564279
329.913,1442.439691082865,30.67179513826864
330.489,1450.2175030139965,28.455054885619766
331.066,1459.3635150153077,31.259483065017847
331.643,1478.1877135470177,31.33983721275107
332.219,1500.8501992603835,30.730626474622078
332.796,1516.4840371170237,32.92849143189656
333.373,1530.6337578819437,30.76950053922522
333.95,1563.2396123171272,28.188777876762078
334.526,1598.9569904940704,28.776347733320172
335.103,1627.224148592181,31.29866539212654
335.68,1662.9851416203373,27.761585683561282
336.256,1701.8065429035494,29.392212828347105
336.833,1738.101046500085,31.209277976452892
337.41,1779.1724401049012,28.517585241678226
337.987,1824.4739368601136,29.344380164956675
338.563,1878.371492115708,27.560189507427726
339.14,1928.2496376188055,24.26759380554703
339.717,1972.1296736532738,29.696446199998654
340.293,2040.4225246794103,27.347995337111225
340.87,2100.610306959099,25.85946529285287
341.447,2155.0145621206584,26.57273992055567
342.024,2232.490762282599,30.492743806917744
342.6,2315.929073259082,27.57406123263035
343.177,2396.503413788744,23.832310886212127
343.754,2467.619404675856,26.53955918300033
344.33,2551.2372041344074,27.17367547049543
344.907,2637.391229824191,28.414839960315362
345.484,2721.8390277859726,26.679891157284672
346.06,2819.0179341650082,27.93474429274969
346.637,2914.5488421814675,27.45777507490427
347.214,3003.3906738475557,24.294180683417444
347.791,3099.463684854776,26.190936829894728
348.367,3203.2083466799236,24.79415442002997
348.944,3306.9295753531997,23.524917627432416
349.521,3417.66342400324,27.691600959013318
350.097,3529.814832654734,28.950673848025964
350.674,3633.190574694052,32.52248202257492
351.251,3747.804497062265,31.930020979729246
351.828,3872.0099267469973,26.86502011886976
352.404,3996.103528782705,26.64692415202859
352.981,4115.544021115983,30.185762287594624
353.558,4249.225009853005,27.133268932966725
354.134,4374.969963717734,30.291124102217896
354.711,4509.721216012267,25.82812137565444
355.288,4646.406867050004,23.788633577690266
355.865,4783.8437164722545,24.329527286231897
356.441,4930.096786496947,22.60991557033901
357.018,5040.935708059003,29.152315543241766
357.595,5180.250863589419,28.17332156455598
