Wavelength [nm],Epsilons_averaged,Epsilons_averaged_plus_error,Epsilons_averaged_minus_error
392.197,15364.150148012895,15427.906319567866,15300.393976457925
392.774,15491.25806120225,15556.75772749867,15425.75839490583
393.351,15685.546230673854,15751.80401977552,15619.288441572187
393.927,15755.9899283293,15821.332012438099,15690.6478442205
394.504,15949.514200471604,16013.263537674835,15885.764863268372
395.081,16019.7281957864,16087.482292919738,15951.974098653061
395.657,16262.89109554488,16326.995633479579,16198.78655761018
396.234,16387.23540517153,16453.988066455164,16320.482743887897
396.811,16464.057452498713,16530.059479133084,16398.055425864342
397.388,16655.171316775013,16726.313666353188,16584.02896719684
397.964,16854.67536318692,16930.68787040057,16778.662855973274
398.541,16942.72719976065,17007.313104926674,16878.14129459463
399.118,17092.33393856595,17159.842894903813,17024.824982228085
399.694,17177.225796362556,17249.94749601082,17104.504096714292
400.271,17287.3170931053,17364.092100639347,17210.54208557125
400.848,17490.181166877843,17570.038757493177,17410.323576262508
401.425,17537.3230926922,17613.59529894107,17461.050886443332
402.001,17631.829753570626,17703.87525662649,17559.784250514764
402.578,17773.740621829023,17846.716289022123,17700.764954635924
403.155,17812.96693522781,17890.275621693363,17735.658248762258
403.731,17989.64495793536,18063.547432934698,17915.742482936024
404.308,18154.63784317298,18232.430197900052,18076.845488445906
404.885,18233.4954168319,18314.932008598596,18152.0588250652
405.462,18228.41608688401,18311.273679039332,18145.55849472869
406.038,18267.65502962492,18349.16026399908,18186.149795250756
406.615,18395.132514245764,18473.975562004023,18316.289466487506
407.192,18501.54262945158,18581.6745757944,18421.410683108756
407.768,18595.308768985466,18675.09913919913,18515.5183987718
408.345,18691.234414820847,18765.470021505414,18616.99880813628
408.922,18771.60429935645,18843.1739199605,18700.034678752403
409.498,18812.91422155413,18891.274124946205,18734.554318162052
410.075,18885.624101894246,18963.44556813527,18807.80263565322
410.652,18923.581561765004,18997.411008469397,18849.75211506061
411.229,19017.91837381264,19100.09477102126,18935.741976604022
411.805,19051.705621367222,19130.469366943504,18972.94187579094
412.382,19031.801812367787,19114.667866130585,18948.93575860499
412.959,19113.879750981185,19190.382056338563,19037.377445623806
413.535,19187.675415551388,19267.734000228636,19107.61683087414
414.112,19149.277525181784,19237.594633284054,19060.960417079514
414.689,19258.461124141868,19342.012158900565,19174.91008938317
415.266,19289.65713634061,19373.55409536694,19205.76017731428
415.842,19436.34910425229,19525.650871238013,19347.04733726657
416.419,19381.93072380811,19467.04969610882,19296.811751507397
416.996,19559.18926680718,19645.35947720653,19473.019056407833
417.572,19412.55967392305,19499.7241650238,19325.3951828223
418.149,19607.261976023005,19692.107579385447,19522.416372660562
418.726,19526.679281344022,19614.06445687051,19439.294105817535
419.303,19625.619955046892,19712.197979759192,19539.04193033459
419.879,19673.703760660406,19753.450250897757,19593.957270423056
420.456,19761.84881610502,19842.870724564957,19680.82690764508
421.033,19775.25340983413,19855.66552494676,19694.841294721504
421.609,19777.46969632401,19857.15562678851,19697.78376585951
422.186,19687.66005671764,19774.34586519221,19600.97424824307
422.763,19796.77263955217,19879.92046054477,19713.624818559572
423.339,19698.81822686461,19777.563167166412,19620.073286562805
423.916,19648.010070777087,19730.52990777848,19565.490233775694
424.493,19687.264752523035,19771.005421880454,19603.524083165616
425.07,19690.443373212296,19769.354560390235,19611.532186034357
425.646,19554.42127898326,19629.579749985023,19479.262807981497
426.223,19519.1789172096,19595.832066981413,19442.525767437786
426.8,19647.660345036817,19731.046370227716,19564.274319845917
427.376,19644.19032084363,19722.617261176354,19565.763380510907
427.953,19579.84522722131,19658.3107154565,19501.37973898612
428.53,19554.225935830233,19636.587348068726,19471.86452359174
429.107,19520.911793865187,19604.209110195203,19437.61447753517
429.683,19501.186492058736,19583.06641925761,19419.30656485986
430.26,19449.639945221137,19528.23375525335,19371.046135188924
430.837,19370.886294887783,19454.2019826395,19287.570607136066
431.413,19222.90841998707,19303.48496296778,19142.33187700636
