Wavelength [nm]	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable
396.234	7150.811059660523	7189.314050234574	7112.308069086475
396.811	7274.267171230877	7313.434901714911	7235.099440746846
397.388	7290.964244007437	7330.22187859191	7251.706609422967
397.964	7420.465448304004	7460.420372133957	7380.510524474054
398.541	7480.561209168198	7520.839713987048	7440.282704349353
399.118	7596.4866001597375	7637.389296304494	7555.583904014985
399.694	7639.517601850082	7680.651995104251	7598.383208595918
400.271	7727.234902697809	7768.841602992332	7685.628202403291
400.848	7811.572158048796	7853.632965789416	7769.511350308181
401.425	7892.6381501619235	7935.135451484063	7850.140848839788
402.001	7975.06037711505	8018.001474560593	7932.11927966951
402.578	8056.780598253119	8100.161711925904	8013.399484580338
403.155	8091.469618837885	8135.037512866275	8047.901724809497
403.731	8161.645869025379	8205.59162165987	8117.700116390892
404.308	8253.158619500684	8297.597115481289	8208.720123520085
404.885	8327.409479868282	8372.247773879208	8282.571185857361
405.462	8394.913359807799	8440.115123253358	8349.711596362245
406.038	8467.3241346041	8512.915788281154	8421.732480927049
406.615	8547.572310907763	8593.596054700194	8501.548567115335
407.192	8625.230737148127	8671.67262674648	8578.788847549778
407.768	8693.536074218648	8740.345748635735	8646.726399801564
408.345	8770.904178208923	8818.130435214169	8723.67792120368
408.922	8839.089571322993	8886.682967317991	8791.496175327997
409.498	8927.464703648298	8975.533948726503	8879.395458570101
410.075	9016.657828952886	9065.207327534394	8968.108330371382
410.652	9055.504079902432	9104.262743125779	9006.74541667909
411.229	9140.72730238034	9189.944843471438	9091.509761289244
411.805	9215.665876865585	9265.286918930624	9166.04483480055
412.382	9285.446624996757	9335.443396117582	9235.449853875936
412.959	9319.385981089516	9369.565496055315	9269.206466123722
413.535	9358.845239556558	9409.237219855888	9308.45325925723
414.112	9425.156825780208	9475.905855700626	9374.407795859795
414.689	9509.460005472467	9560.662959361227	9458.257051583714
415.266	9575.873464332697	9627.434016367899	9524.312912297502
415.842	9632.749223088635	9684.616018259754	9580.88242791752
416.419	9724.579639020254	9776.940887982633	9672.218390057882
416.996	9789.936752459931	9842.649911758313	9737.223593161552
417.572	9824.599670027097	9877.499469131402	9771.699870922797
418.149	9901.67083742796	9954.985620288264	9848.356054567665
418.726	9923.34295637876	9976.774431091877	9869.911481665647
419.303	9992.857300183212	10046.663069518567	9939.051530847863
419.879	10038.825363806836	10092.878644635033	9984.772082978645
420.456	10085.815697192294	10140.121993846013	10031.509400538582
421.033	10138.258135974183	10192.846804894383	10083.66946705399
421.609	10202.243364574604	10257.176557022713	10147.310172126501
422.186	10240.655490450834	10295.79551002781	10185.515470873865
422.763	10288.872547550489	10344.272188152203	10233.47290694878
423.339	10346.836837574485	10402.548582424768	10291.125092724209
423.916	10372.528289726924	10428.378368219614	10316.678211234239
424.493	10429.639093754498	10485.796680966241	10373.48150654276
425.07	10469.43946314842	10525.811352379169	10413.067573917675
425.646	10465.085338076195	10521.433782856348	10408.736893296045
426.223	10513.77189515312	10570.382488944426	10457.161301361823
426.8	10567.986268188843	10624.888775089941	10511.08376128775
427.376	10559.278018044393	10616.133636044298	10502.422400044496
427.953	10583.93367647339	10640.922050964296	10526.945301982492
428.53	10637.193931064741	10694.469081288273	10579.918780841217
429.107	10671.337741109872	10728.796736044913	10613.878746174836
429.683	10700.115786509106	10757.72973460981	10642.501838408409
430.26	10714.852357305106	10772.545653334559	10657.15906127566
430.837	10747.73536797731	10805.6057200413	10689.865015913325
431.413	10781.547870491308	10839.600283366963	10723.495457615658
431.99	10818.306057202313	10876.556391698976	10760.055722705656
432.567	10849.042301374679	10907.458132807253	10790.62646994211
433.144	10832.720060844122	10891.048006431573	10774.392115256676
433.72	10825.155264606577	10883.442478132196	10766.868051080965
434.297	10822.76996849564	10881.04433857834	10764.495598412948
434.874	10869.62399924619	10928.150651243388	10811.097347248999
435.45	10867.92316913985	10926.440663148534	10809.405675131175
436.027	10836.059475399436	10894.405401806973	10777.713548991902
436.604	10885.878088459289	10944.492259346098	10827.263917572487
437.181	10876.643584944088	10935.20803335902	10818.07913652916
437.757	10852.177261977622	10910.609973363747	10793.744550591502
438.334	10846.248097359006	10904.64888361559	10787.84731110243
438.911	10812.95617878207	10871.177707271041	10754.734650293105
439.487	10734.071678450118	10791.868459431797	10676.274897468447
440.064	10713.89823886073	10771.586397513014	10656.210080208451
440.641	10787.433510395047	10845.517614044777	10729.349406745325
441.217	10779.677725110147	10837.72006833225	10721.635381888049
441.794	10724.01870950285	10781.761361048666	10666.276057957042
442.371	10668.236856165653	10725.679154624899	10610.794557706413
442.948	10643.361625294452	10700.669984991819	10586.053265597091
443.524	10603.051951774245	10660.143267143823	10545.960636404674
444.101	10632.491490160328	10689.741320453531	10575.24165986713
444.678	10589.215403576183	10646.23221711927	10532.198590033106
445.254	10489.410692936275	10545.890115713339	10432.931270159215
445.831	10450.357094260922	10506.626235948313	10394.087952573536
446.408	10413.385004541398	10469.455072863531	10357.314936219273
446.985	10398.255412066314	10454.244016264782	10342.266807867849
447.561	10321.721482563962	10377.297995722458	10266.14496940547
448.138	10272.107323456474	10327.416693002237	10216.797953910716
448.715	10211.691180532314	10266.675244016691	10156.707117047943
449.291	10184.818064852177	10239.657432118029	10129.978697586334
449.868	10147.117807243376	10201.754180380136	10092.481434106621
450.445	10081.965147756071	10136.250711423361	10027.679584088786
451.022	10003.42075438879	10057.283401828503	9949.558106949082
451.598	9947.979657638869	10001.543786769573	9894.415528508169
